Epochs,Test Accuracy,Train Accuracy,ProbAct Sigma Value
0,23.93,18.637999999999998,0.033338695764541626
1,42.29,32.754,0.028478130698204037
2,55.74,52.961999999999996,-0.012415208853781223
3,56.71,66.196,-0.0021115425042808056
4,53.69,73.27,-0.0059518562629818925
5,64.71,78.042,0.006963307037949562
6,73.33,81.462,0.03521295636892319
7,76.93,84.38799999999999,0.002803799230605364
8,77.84,86.23200000000001,0.00626303069293499
9,73.32,88.27799999999999,-0.004868368618190289
10,77.31,89.584,0.005152881611138582
11,80.73,91.104,0.020807748660445213
12,81.42,92.318,0.0012968085939064624
13,82.69,93.71600000000001,-0.0024185827933251853
14,80.18,94.664,0.002380540128797293
15,80.19,94.99600000000001,0.002454424276947975
16,82.73,95.74,-0.002517238026484847
17,79.72,96.486,-0.0028628683649003506
18,80.94,96.334,-0.009277090430259705
19,82.11,96.882,-0.009390211664140223
20,82.81,97.036,0.02287390828132629
21,80.29,97.32799999999999,0.012201759032905102
22,81.57,97.512,-0.022298237308859825
23,81.49,97.662,-0.01926725171506405
24,82.55,97.64200000000001,-0.0005798292113468051
25,80.61,98.074,0.004425471648573875
26,82.03,97.81200000000001,-0.02517497539520264
27,82.43,97.88,-0.004588497802615166
28,83.18,97.98200000000001,-0.010712135583162308
29,83.26,98.414,-0.002088416833430529
30,82.73,98.32,-0.003155621699988842
31,83.82,98.354,-0.0246800035238266
32,82.99,98.53399999999999,0.033934026956558234
33,83.42,98.53399999999999,-0.02989528700709343
34,84.03,98.484,0.008695232681930065
35,82.66,98.74,-0.06703032553195952
36,84.16,98.554,-0.009298954159021378
37,83.17,98.464,-0.02646784670650959
38,81.13,98.428,-0.011518965475261213
39,84.08,98.426,0.0014862983953207733
40,82.97,98.786,-0.0006664803950116037
41,82.96,98.796,0.012406645342707634
42,84.84,98.818,-0.01951082050800324
43,84.36,98.88799999999999,0.0498441644012928
44,84.42,98.89200000000001,0.015307078137993813
45,82.63,98.89,-0.007938764989376068
46,84.09,98.896,-0.020113633945584297
47,83.86,98.87200000000001,0.027179010212421417
48,83.53,99.012,0.006215800531208515
49,85.36,99.022,0.002351535484194756
50,86.59,99.74,-0.0002524473820813
51,86.84,99.948,-0.0010199182434007523
52,86.84,99.98,0.002173402113839984
53,86.84,99.98,0.0007538660429418088
54,87.09,99.976,0.014871165156364441
55,86.74,99.978,0.006694802548736335
56,87.01,99.986,0.015710750594735146
57,86.85,99.96799999999999,0.022260094061493874
58,86.72,99.98200000000001,-0.010904195718467236
59,86.66,99.946,0.014606340788304806
60,86.87,99.97,-0.014839733950793743
61,86.95,99.99,-0.00417229812592268
62,86.93,99.984,-0.011144904419779778
63,86.82,99.984,0.0025060956832021475
64,86.81,99.98,0.003487885696813464
65,86.94,99.984,-0.0016766113694757225
66,86.96,99.99600000000001,-0.008799477480351925
67,87.01,99.976,-0.016159575432538986
68,86.84,99.964,0.0018899645656347273
69,86.79,99.97,0.013646738603711128
70,86.9,99.97200000000001,0.004731845110654831
71,87.12,99.97200000000001,0.005900501739233732
72,87.09,99.986,0.0018708764109760523
73,87.06,99.97200000000001,0.0004179682582616806
74,86.85,99.93,-0.008919545449316502
75,87.04,99.976,-0.009092484600842
76,86.94,99.99600000000001,-0.002166736638173461
77,87.04,100.0,0.0015052305534482002
78,87.05,99.994,-0.003630525199696422
79,87.06,99.99600000000001,2.0755117020598846e-06
80,86.72,99.988,-0.0140346335247159
81,87.0,99.96799999999999,0.01271260716021061
82,87.06,99.98200000000001,0.02000866271555424
83,86.89,99.98200000000001,0.011129690334200859
84,87.08,99.99600000000001,0.002357295248657465
85,86.88,99.986,-0.00014176667900756001
86,86.91,99.978,-0.00878141541033983
87,86.73,99.99,-0.011345285922288895
88,86.87,99.97,-0.018198980018496517
89,86.9,99.96600000000001,0.009797148406505585
90,86.98,99.988,0.004456264898180962
91,87.22,99.98200000000001,0.005512656178325415
92,86.88,99.992,0.010059703141450882
93,86.99,99.984,-0.015002848580479622
94,87.03,99.99799999999999,-0.00864435825496912
95,86.53,99.986,-0.017071746289730072
96,86.87,99.97399999999999,-0.0039401063695549965
97,86.6,99.97,0.0008330164710059763
98,87.16,99.992,0.0010971444426104426
99,86.99,99.988,-0.003202240681275725
100,87.22,99.99799999999999,-0.001326745725236833
101,87.24,99.99600000000001,-0.002477745525538921
102,87.11,100.0,-0.002613232005387545
103,87.04,99.99799999999999,-0.002006655791774392
104,87.17,100.0,-0.0019519171910360453
105,87.2,99.99600000000001,-0.00024645935627631843
106,87.06,100.0,-5.766751928604208e-05
107,87.2,100.0,0.00027167287771590054
108,87.15,99.99799999999999,-0.0029131053015589714
109,87.07,100.0,-0.0028454666025936604
110,87.06,99.99799999999999,-0.003362124552950263
111,87.18,99.99799999999999,-0.00554253812879324
112,87.29,100.0,-0.0042929165065288535
113,87.04,100.0,-0.00416055740788579
114,87.02,99.99799999999999,-0.003834318602457642
115,87.04,100.0,-0.0034727922175079584
116,87.19,100.0,-0.003309513907879591
117,87.18,99.99799999999999,-0.004268239252269268
118,87.14,100.0,-0.004006070550531149
119,87.23,100.0,-0.0028286525048315525
120,87.17,100.0,-0.0021072197705507283
121,87.26,100.0,-0.0019247414311394093
122,87.2,100.0,-0.0016092475270852447
123,87.18,100.0,-0.002456712070852518
124,87.21,100.0,-0.0023572109639644627
125,87.29,100.0,-0.0022833843249827623
126,87.09,99.99600000000001,-0.002747066551819444
127,87.18,100.0,-0.0023777892347425227
128,87.2,100.0,-0.0018476357217878105
129,86.98,100.0,-0.0012419932754710314
130,87.3,100.0,-0.0011478145606815815
131,87.3,100.0,0.00019920890918001533
132,87.19,99.99799999999999,-0.0021068800706416373
133,87.18,99.99799999999999,-0.004065617918968201
134,87.43,100.0,-0.0038871450815349813
135,87.27,100.0,-0.0029656202532351017
136,87.14,100.0,-0.002745727077126503
137,87.26,100.0,-0.002536939224228263
138,87.18,99.99799999999999,-0.0011508016614243386
139,87.36,99.99799999999999,-0.0014178010169416664
140,87.16,100.0,-0.0011745253577828407
141,87.2,100.0,-0.0011820032959803939
142,87.12,100.0,-0.0014747707173228266
143,87.31,99.99799999999999,-0.0040765730664134026
144,87.38,99.99799999999999,-0.0025530597195029263
145,87.12,99.99799999999999,-0.003552654758095741
146,87.17,100.0,-0.002615225734189153
147,87.24,100.0,-0.002525229938328266
148,87.17,100.0,-0.0025127169210463762
149,87.05,100.0,-0.002815679647028446
150,87.02,100.0,-0.0021444878075271845
151,87.18,99.99799999999999,-0.0020540908444672823
152,87.24,100.0,-0.0018885264871641996
153,87.25,99.99799999999999,-0.0019003594061359765
154,87.23,100.0,-0.0019018319435417648
155,87.07,100.0,-0.0019003369379788641
156,87.18,100.0,-0.001884958823211491
157,87.05,100.0,-0.0018817957025021317
158,86.97,99.99799999999999,-0.0018384814029559493
159,87.11,99.99799999999999,-0.001760579296387732
160,86.97,99.99799999999999,-0.0017502810806035993
161,87.07,100.0,-0.0017378241755068302
162,87.18,100.0,-0.0017400573706254365
163,87.27,100.0,-0.0017415955662727356
164,87.23,99.99799999999999,-0.0018023803131654856
165,87.18,100.0,-0.001799257006496191
166,87.21,100.0,-0.0018042048905044796
167,87.12,100.0,-0.0017860744846984746
168,87.05,100.0,-0.0017563040601089597
169,87.17,100.0,-0.001761107356287539
170,87.13,100.0,-0.0017575434176251292
171,87.21,100.0,-0.0018074775580316784
172,87.11,100.0,-0.001800856669433415
173,87.21,100.0,-0.0018017048714682462
174,87.18,100.0,-0.0018523010658100245
175,87.06,99.99799999999999,-0.0022427397780120373
176,87.22,100.0,-0.002191411796957255
177,87.16,99.99799999999999,-0.0022259776014834642
178,87.15,100.0,-0.0024593549314886327
179,87.05,99.99799999999999,-0.0023654063697904353
180,87.12,100.0,-0.0023626333568245173
181,87.12,100.0,-0.002347138244658709
182,87.09,100.0,-0.0023356091696769
183,86.94,100.0,-0.00232251756824553
184,87.27,99.99600000000001,-0.0022412252146750693
185,87.26,100.0,-0.002216271823272109
186,87.16,100.0,-0.0022174862679094076
187,87.01,100.0,-0.0021739271469414234
188,86.97,100.0,-0.002205240074545145
189,87.25,99.99799999999999,-0.0022124003153294325
190,87.12,100.0,-0.002198261907324195
191,87.22,100.0,-0.00233958731405437
192,87.21,100.0,-0.0023415712639689445
193,86.97,99.99799999999999,-0.0023373181466013197
194,87.01,100.0,-0.002331989118829369
195,87.15,100.0,-0.0023277064319700003
196,87.2,100.0,-0.002319657476618886
197,87.07,100.0,-0.0023071363102644678
198,87.14,99.99799999999999,-0.0024649614933878183
199,87.06,100.0,-0.002663950202986598
